clafam,nomfam,clatal,tyc,escandallo,componente,sergar,garmonth,multiuni,clauni,tactil,imagen,orden,favorito,impcocina,vtaonline,claparent,grupo,posimg,pvponline,palclave,imgweb,imgwebp,descr,ordenweb,atributos,pvpmin,claprinter,clagcocina,noagrupar,epigrafe
116.0,BELCANDO Alimento Humedo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,191.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
124.0,KONG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,162.0,0.0,0.0,1.0,,,,,28.0,,0.0,0.0,0.0,0.0,
125.0,Peces Agua Fria,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,
126.0,Mascotas Tortuga,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,312.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
127.0,PECES Alimento Congelado,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,252.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
128.0,Plantas Naturales,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,99.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
130.0,Artero Cosméticos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,192.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
133.0,GOURMET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
141.0,RC Seco CAT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,,,,,43.0,,0.0,0.0,0.0,0.0,
144.0,Mascotas Aves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,313.0,0.0,0.0,1.0,,,,,7.0,,0.0,0.0,0.0,0.0,
146.0,RC Gato Alim. Humedo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
147.0,RC LECHE CAT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,,,,,45.0,,0.0,0.0,0.0,0.0,
148.0,Mascotas Roedores,1.0,0.0,0.0,0.0,1.0,24.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,313.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
149.0,ICA Acuariofilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,248.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
152.0,ICA Pequeños Animales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,251.0,0.0,0.0,1.0,,,,,113.0,,0.0,0.0,0.0,0.0,
158.0,PECES Accesorios Acuari,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,248.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
160.0,HILLSPerro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,190.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
162.0,PERRO Juguetes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
163.0,PERRO Higiene Salud,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,192.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
165.0,Perro Ropa y Moda,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,201.0,0.0,0.0,1.0,,,,,40.0,,0.0,0.0,0.0,0.0,
167.0,Gato Juguete,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,193.0,0.0,0.0,1.0,,,,,54.0,,0.0,0.0,0.0,0.0,
168.0,PEQUEÑOS MAMIFEROS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,"Roedores,hamster,conejo,cobaya,huron,",_54j0n9izj_g.png,.\imagesonline\_54j0n9izj_p.bmp,,128.0,,0.0,0.0,0.0,0.0,
170.0,Nobleza Juguete perros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,162.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
172.0,Aves Alimento,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,41.0,0.0,0.0,1.0,,,,,78.0,,0.0,0.0,0.0,0.0,
173.0,Perro Snacks,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,179.0,0.0,0.0,1.0,,_4yx15pk6v_g.png,.\imagesonline\_4yx15pk6v_p.bmp,,0.0,,0.0,0.0,0.0,0.0,
174.0,Mascota Anfibio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,312.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
176.0,Perro Alimento Húmedo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,191.0,0.0,0.0,1.0,,_4yx15of2v_g.png,.\imagesonline\_4yx15of2v_p.bmp,,8.0,,0.0,0.0,0.0,0.0,
177.0,Gato Alimento seco,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,,,,,46.0,,0.0,0.0,0.0,0.0,
178.0,Perro Vitaminas y Complem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,192.0,0.0,0.0,1.0,,,,,11.0,,0.0,0.0,0.0,0.0,
179.0,Perro Snacks,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,22.0,1.0,0.0,1.0,,_54g0nfc6h_g.png,.\imagesonline\_54g0nfc6h_p.bmp,,13.0,,0.0,0.0,0.0,0.0,
180.0,Perro SNACK Natural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,179.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
183.0,Scalibor,1.0,0.0,0.0,0.0,1.0,24.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
184.0,PERRO Transporte y Viaje,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,,_4z011q9rm_g.png,.\imagesonline\_4z011q9rm_p.bmp,,0.0,,0.0,0.0,0.0,0.0,
186.0,Gato Alimento complemento,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
187.0,Gato Antiparasitario,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,311.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
188.0,Gato Alimento Humedo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
190.0,PERRO Pienso,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,22.0,1.0,0.0,1.0,,_54b0oq2z4_g.png,.\imagesonline\_54b0oq2z4_p.bmp,,81.0,,0.0,0.0,0.0,0.0,
191.0,PERRO Alim Humedo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
192.0,PERRO Higiene y Salud,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
193.0,GATO Accesorios,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,25.0,1.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
194.0,Gato Rascadores,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,193.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
195.0,Aves Salud e Higiene,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,316.0,0.0,0.0,1.0,,,,,109.0,,0.0,0.0,0.0,0.0,
196.0,Gato Higiene y Salud,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,311.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
197.0,PERRO Cama y Cunas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
198.0,Nobleza Transp y Viajes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,184.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
201.0,Perro Ropa y Moda,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
202.0,PERRO Cama y Cunas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,197.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
203.0,Nobleza ropa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,201.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
204.0,Perro Correa Arnes Collar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
205.0,Nobleza Ropa y Moda,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,201.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
207.0,Perro Comedero Bebedero,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
208.0,Nobleza Camas y Cunas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,197.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
209.0,RC Perro Alim. Humedo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,191.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
210.0,Gato Arenas y Fondos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,311.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
